Date,Bomet_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,18.62955,0.147195352346745,0.11747976077130967
2024-11-30,18.595299,0.147195352346745,0.11747976077130967
2024-12-31,18.591581,0.147195352346745,0.11747976077130967
2025-01-31,18.985355,0.147195352346745,0.11747976077130967
2025-02-28,19.78818,0.147195352346745,0.11747976077130967
2025-03-31,20.003407,0.147195352346745,0.11747976077130967
2025-04-30,18.952589,0.147195352346745,0.11747976077130967
2025-05-31,17.84272,0.147195352346745,0.11747976077130967
2025-06-30,16.948572,0.147195352346745,0.11747976077130967
2025-07-31,16.590351,0.147195352346745,0.11747976077130967
2025-08-31,17.126009,0.147195352346745,0.11747976077130967
2025-09-30,18.084867,0.147195352346745,0.11747976077130967
2025-10-31,18.63015,0.147195352346745,0.11747976077130967
2025-11-30,18.631886,0.147195352346745,0.11747976077130967
2025-12-31,18.58933,0.147195352346745,0.11747976077130967
2026-01-31,18.900291,0.147195352346745,0.11747976077130967
2026-02-28,19.720535,0.147195352346745,0.11747976077130967
2026-03-31,20.10325,0.147195352346745,0.11747976077130967
2026-04-30,19.014925,0.147195352346745,0.11747976077130967
2026-05-31,17.910427,0.147195352346745,0.11747976077130967
2026-06-30,17.00186,0.147195352346745,0.11747976077130967
2026-07-31,16.615782,0.147195352346745,0.11747976077130967
2026-08-31,17.119223,0.147195352346745,0.11747976077130967
2026-09-30,18.057245,0.147195352346745,0.11747976077130967
2026-10-31,18.625383,0.147195352346745,0.11747976077130967
2026-11-30,18.647867,0.147195352346745,0.11747976077130967
2026-12-31,18.59145,0.147195352346745,0.11747976077130967
2027-01-31,18.892298,0.147195352346745,0.11747976077130967
2027-02-28,19.685585,0.147195352346745,0.11747976077130967
2027-03-31,20.090176,0.147195352346745,0.11747976077130967
2027-04-30,19.070139,0.147195352346745,0.11747976077130967
2027-05-31,17.956139,0.147195352346745,0.11747976077130967
2027-06-30,17.049387,0.147195352346745,0.11747976077130967
2027-07-31,16.641893,0.147195352346745,0.11747976077130967
2027-08-31,17.099155,0.147195352346745,0.11747976077130967
2027-09-30,18.029795,0.147195352346745,0.11747976077130967
2027-10-31,18.6119,0.147195352346745,0.11747976077130967
2027-11-30,18.650185,0.147195352346745,0.11747976077130967
2027-12-31,18.589214,0.147195352346745,0.11747976077130967
2028-01-31,18.86842,0.147195352346745,0.11747976077130967
2028-02-29,19.633625,0.147195352346745,0.11747976077130967
2028-03-31,20.094294,0.147195352346745,0.11747976077130967
2028-04-30,19.106417,0.147195352346745,0.11747976077130967
2028-05-31,17.99166,0.147195352346745,0.11747976077130967
2028-06-30,17.082582,0.147195352346745,0.11747976077130967
2028-07-31,16.655561,0.147195352346745,0.11747976077130967
2028-08-31,17.078749,0.147195352346745,0.11747976077130967
2028-09-30,17.996624,0.147195352346745,0.11747976077130967
2028-10-31,18.594961,0.147195352346745,0.11747976077130967
2028-11-30,18.648586,0.147195352346745,0.11747976077130967
2028-12-31,18.584679,0.147195352346745,0.11747976077130967
2029-01-31,18.84547,0.147195352346745,0.11747976077130967
2029-02-28,19.594494,0.147195352346745,0.11747976077130967
2029-03-31,20.087273,0.147195352346745,0.11747976077130967
2029-04-30,19.136383,0.147195352346745,0.11747976077130967
2029-05-31,18.021769,0.147195352346745,0.11747976077130967
2029-06-30,17.111795,0.147195352346745,0.11747976077130967
2029-07-31,16.668655,0.147195352346745,0.11747976077130967
2029-08-31,17.060173,0.147195352346745,0.11747976077130967
2029-09-30,17.965822,0.147195352346745,0.11747976077130967
