Date,Kakamega_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,140.52354,49.922379116862736,38.43380225602017
2024-11-30,114.63401,49.922379116862736,38.43380225602017
2024-12-31,90.30108,49.922379116862736,38.43380225602017
2025-01-31,91.78368,49.922379116862736,38.43380225602017
2025-02-28,139.15761,49.922379116862736,38.43380225602017
2025-03-31,187.89568,49.922379116862736,38.43380225602017
2025-04-30,198.37538,49.922379116862736,38.43380225602017
2025-05-31,194.33794,49.922379116862736,38.43380225602017
2025-06-30,190.61017,49.922379116862736,38.43380225602017
2025-07-31,180.28906,49.922379116862736,38.43380225602017
2025-08-31,171.26585,49.922379116862736,38.43380225602017
2025-09-30,157.6073,49.922379116862736,38.43380225602017
2025-10-31,137.30234,49.922379116862736,38.43380225602017
2025-11-30,110.40049,49.922379116862736,38.43380225602017
2025-12-31,89.94824,49.922379116862736,38.43380225602017
2026-01-31,94.97471,49.922379116862736,38.43380225602017
2026-02-28,136.33243,49.922379116862736,38.43380225602017
2026-03-31,180.13239,49.922379116862736,38.43380225602017
2026-04-30,201.35875,49.922379116862736,38.43380225602017
2026-05-31,200.697,49.922379116862736,38.43380225602017
2026-06-30,194.09181,49.922379116862736,38.43380225602017
2026-07-31,186.52881,49.922379116862736,38.43380225602017
2026-08-31,172.0661,49.922379116862736,38.43380225602017
2026-09-30,153.66975,49.922379116862736,38.43380225602017
2026-10-31,132.64896,49.922379116862736,38.43380225602017
2026-11-30,105.222984,49.922379116862736,38.43380225602017
2026-12-31,85.94642,49.922379116862736,38.43380225602017
2027-01-31,97.98456,49.922379116862736,38.43380225602017
2027-02-28,143.84212,49.922379116862736,38.43380225602017
2027-03-31,186.49225,49.922379116862736,38.43380225602017
2027-04-30,203.12633,49.922379116862736,38.43380225602017
2027-05-31,202.1904,49.922379116862736,38.43380225602017
2027-06-30,194.3923,49.922379116862736,38.43380225602017
2027-07-31,184.07353,49.922379116862736,38.43380225602017
2027-08-31,171.71931,49.922379116862736,38.43380225602017
2027-09-30,154.85794,49.922379116862736,38.43380225602017
2027-10-31,130.92358,49.922379116862736,38.43380225602017
2027-11-30,101.94848,49.922379116862736,38.43380225602017
2027-12-31,82.59423,49.922379116862736,38.43380225602017
2028-01-31,97.74568,49.922379116862736,38.43380225602017
2028-02-29,147.6151,49.922379116862736,38.43380225602017
2028-03-31,191.67694,49.922379116862736,38.43380225602017
2028-04-30,207.08745,49.922379116862736,38.43380225602017
2028-05-31,204.17957,49.922379116862736,38.43380225602017
2028-06-30,195.1348,49.922379116862736,38.43380225602017
2028-07-31,184.23682,49.922379116862736,38.43380225602017
2028-08-31,171.20639,49.922379116862736,38.43380225602017
2028-09-30,153.47144,49.922379116862736,38.43380225602017
2028-10-31,128.17899,49.922379116862736,38.43380225602017
2028-11-30,97.88772,49.922379116862736,38.43380225602017
2028-12-31,79.51895,49.922379116862736,38.43380225602017
2029-01-31,99.63195,49.922379116862736,38.43380225602017
2029-02-28,153.59656,49.922379116862736,38.43380225602017
2029-03-31,196.78366,49.922379116862736,38.43380225602017
2029-04-30,209.63345,49.922379116862736,38.43380225602017
2029-05-31,205.23706,49.922379116862736,38.43380225602017
2029-06-30,195.47137,49.922379116862736,38.43380225602017
2029-07-31,184.24045,49.922379116862736,38.43380225602017
2029-08-31,170.91785,49.922379116862736,38.43380225602017
2029-09-30,152.34917,49.922379116862736,38.43380225602017
