Date,Kisii_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,21.159525,0.20423192167829696,0.1702696799077544
2024-11-30,21.100536,0.20423192167829696,0.1702696799077544
2024-12-31,21.021694,0.20423192167829696,0.1702696799077544
2025-01-31,21.114908,0.20423192167829696,0.1702696799077544
2025-02-28,21.758856,0.20423192167829696,0.1702696799077544
2025-03-31,22.080376,0.20423192167829696,0.1702696799077544
2025-04-30,21.302174,0.20423192167829696,0.1702696799077544
2025-05-31,20.3847,0.20423192167829696,0.1702696799077544
2025-06-30,19.639578,0.20423192167829696,0.1702696799077544
2025-07-31,19.454664,0.20423192167829696,0.1702696799077544
2025-08-31,20.049568,0.20423192167829696,0.1702696799077544
2025-09-30,20.784967,0.20423192167829696,0.1702696799077544
2025-10-31,21.084345,0.20423192167829696,0.1702696799077544
2025-11-30,21.105509,0.20423192167829696,0.1702696799077544
2025-12-31,21.034685,0.20423192167829696,0.1702696799077544
2026-01-31,20.997866,0.20423192167829696,0.1702696799077544
2026-02-28,21.489044,0.20423192167829696,0.1702696799077544
2026-03-31,22.153046,0.20423192167829696,0.1702696799077544
2026-04-30,21.394289,0.20423192167829696,0.1702696799077544
2026-05-31,20.510384,0.20423192167829696,0.1702696799077544
2026-06-30,19.760214,0.20423192167829696,0.1702696799077544
2026-07-31,19.50565,0.20423192167829696,0.1702696799077544
2026-08-31,20.008398,0.20423192167829696,0.1702696799077544
2026-09-30,20.680178,0.20423192167829696,0.1702696799077544
2026-10-31,21.029175,0.20423192167829696,0.1702696799077544
2026-11-30,21.093645,0.20423192167829696,0.1702696799077544
2026-12-31,21.04587,0.20423192167829696,0.1702696799077544
2027-01-31,21.100561,0.20423192167829696,0.1702696799077544
2027-02-28,21.60023,0.20423192167829696,0.1702696799077544
2027-03-31,22.12084,0.20423192167829696,0.1702696799077544
2027-04-30,21.493174,0.20423192167829696,0.1702696799077544
2027-05-31,20.589722,0.20423192167829696,0.1702696799077544
2027-06-30,19.846317,0.20423192167829696,0.1702696799077544
2027-07-31,19.566513,0.20423192167829696,0.1702696799077544
2027-08-31,20.009514,0.20423192167829696,0.1702696799077544
2027-09-30,20.68761,0.20423192167829696,0.1702696799077544
2027-10-31,21.057178,0.20423192167829696,0.1702696799077544
2027-11-30,21.128231,0.20423192167829696,0.1702696799077544
2027-12-31,21.082956,0.20423192167829696,0.1702696799077544
2028-01-31,21.144657,0.20423192167829696,0.1702696799077544
2028-02-29,21.606203,0.20423192167829696,0.1702696799077544
2028-03-31,22.152515,0.20423192167829696,0.1702696799077544
2028-04-30,21.620834,0.20423192167829696,0.1702696799077544
2028-05-31,20.702524,0.20423192167829696,0.1702696799077544
2028-06-30,19.92276,0.20423192167829696,0.1702696799077544
2028-07-31,19.573149,0.20423192167829696,0.1702696799077544
2028-08-31,19.949497,0.20423192167829696,0.1702696799077544
2028-09-30,20.647049,0.20423192167829696,0.1702696799077544
2028-10-31,21.078058,0.20423192167829696,0.1702696799077544
2028-11-30,21.174225,0.20423192167829696,0.1702696799077544
2028-12-31,21.118454,0.20423192167829696,0.1702696799077544
2029-01-31,21.13489,0.20423192167829696,0.1702696799077544
2029-02-28,21.583305,0.20423192167829696,0.1702696799077544
2029-03-31,22.22005,0.20423192167829696,0.1702696799077544
2029-04-30,21.70749,0.20423192167829696,0.1702696799077544
2029-05-31,20.759537,0.20423192167829696,0.1702696799077544
2029-06-30,19.950993,0.20423192167829696,0.1702696799077544
2029-07-31,19.56029,0.20423192167829696,0.1702696799077544
2029-08-31,19.900887,0.20423192167829696,0.1702696799077544
2029-09-30,20.61459,0.20423192167829696,0.1702696799077544
