Date,Kitui_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,14.204045,14.707224985130056,10.072461229498668
2024-11-30,21.206686,14.707224985130056,10.072461229498668
2024-12-31,24.944128,14.707224985130056,10.072461229498668
2025-01-31,24.391832,14.707224985130056,10.072461229498668
2025-02-28,22.198984,14.707224985130056,10.072461229498668
2025-03-31,20.45207,14.707224985130056,10.072461229498668
2025-04-30,19.543938,14.707224985130056,10.072461229498668
2025-05-31,19.222538,14.707224985130056,10.072461229498668
2025-06-30,19.191893,14.707224985130056,10.072461229498668
2025-07-31,19.248676,14.707224985130056,10.072461229498668
2025-08-31,19.295593,14.707224985130056,10.072461229498668
2025-09-30,19.312473,14.707224985130056,10.072461229498668
2025-10-31,19.312368,14.707224985130056,10.072461229498668
2025-11-30,19.30981,14.707224985130056,10.072461229498668
2025-12-31,19.307848,14.707224985130056,10.072461229498668
2026-01-31,19.302603,14.707224985130056,10.072461229498668
2026-02-28,19.292593,14.707224985130056,10.072461229498668
2026-03-31,19.2784,14.707224985130056,10.072461229498668
2026-04-30,19.26166,14.707224985130056,10.072461229498668
2026-05-31,19.242905,14.707224985130056,10.072461229498668
2026-06-30,19.22281,14.707224985130056,10.072461229498668
2026-07-31,19.206322,14.707224985130056,10.072461229498668
2026-08-31,19.19547,14.707224985130056,10.072461229498668
2026-09-30,19.189667,14.707224985130056,10.072461229498668
2026-10-31,19.187716,14.707224985130056,10.072461229498668
2026-11-30,19.188488,14.707224985130056,10.072461229498668
2026-12-31,19.190462,14.707224985130056,10.072461229498668
2027-01-31,19.192009,14.707224985130056,10.072461229498668
2027-02-28,19.192177,14.707224985130056,10.072461229498668
2027-03-31,19.190943,14.707224985130056,10.072461229498668
2027-04-30,19.188894,14.707224985130056,10.072461229498668
2027-05-31,19.186764,14.707224985130056,10.072461229498668
2027-06-30,19.185057,14.707224985130056,10.072461229498668
2027-07-31,19.183945,14.707224985130056,10.072461229498668
2027-08-31,19.18335,14.707224985130056,10.072461229498668
2027-09-30,19.183092,14.707224985130056,10.072461229498668
2027-10-31,19.183002,14.707224985130056,10.072461229498668
2027-11-30,19.182962,14.707224985130056,10.072461229498668
2027-12-31,19.182909,14.707224985130056,10.072461229498668
2028-01-31,19.18283,14.707224985130056,10.072461229498668
2028-02-29,19.182734,14.707224985130056,10.072461229498668
2028-03-31,19.182629,14.707224985130056,10.072461229498668
2028-04-30,19.182522,14.707224985130056,10.072461229498668
2028-05-31,19.182419,14.707224985130056,10.072461229498668
2028-06-30,19.18233,14.707224985130056,10.072461229498668
2028-07-31,19.182259,14.707224985130056,10.072461229498668
2028-08-31,19.182205,14.707224985130056,10.072461229498668
2028-09-30,19.182167,14.707224985130056,10.072461229498668
2028-10-31,19.182144,14.707224985130056,10.072461229498668
2028-11-30,19.182129,14.707224985130056,10.072461229498668
2028-12-31,19.182117,14.707224985130056,10.072461229498668
2029-01-31,19.182106,14.707224985130056,10.072461229498668
2029-02-28,19.1821,14.707224985130056,10.072461229498668
2029-03-31,19.182095,14.707224985130056,10.072461229498668
2029-04-30,19.182085,14.707224985130056,10.072461229498668
2029-05-31,19.182077,14.707224985130056,10.072461229498668
2029-06-30,19.182068,14.707224985130056,10.072461229498668
2029-07-31,19.182064,14.707224985130056,10.072461229498668
2029-08-31,19.182062,14.707224985130056,10.072461229498668
2029-09-30,19.182058,14.707224985130056,10.072461229498668
