Date,Kitui_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,25.528648,0.1638308478691865,0.13693532509865103
2024-11-30,25.320286,0.1638308478691865,0.13693532509865103
2024-12-31,25.234804,0.1638308478691865,0.13693532509865103
2025-01-31,26.347792,0.1638308478691865,0.13693532509865103
2025-02-28,27.364002,0.1638308478691865,0.13693532509865103
2025-03-31,27.338348,0.1638308478691865,0.13693532509865103
2025-04-30,26.420797,0.1638308478691865,0.13693532509865103
2025-05-31,25.144749,0.1638308478691865,0.13693532509865103
2025-06-30,23.986498,0.1638308478691865,0.13693532509865103
2025-07-31,23.494673,0.1638308478691865,0.13693532509865103
2025-08-31,23.926062,0.1638308478691865,0.13693532509865103
2025-09-30,24.861967,0.1638308478691865,0.13693532509865103
2025-10-31,25.567465,0.1638308478691865,0.13693532509865103
2025-11-30,25.443514,0.1638308478691865,0.13693532509865103
2025-12-31,25.193926,0.1638308478691865,0.13693532509865103
2026-01-31,26.260082,0.1638308478691865,0.13693532509865103
2026-02-28,27.381634,0.1638308478691865,0.13693532509865103
2026-03-31,27.393127,0.1638308478691865,0.13693532509865103
2026-04-30,26.47684,0.1638308478691865,0.13693532509865103
2026-05-31,25.166775,0.1638308478691865,0.13693532509865103
2026-06-30,23.977364,0.1638308478691865,0.13693532509865103
2026-07-31,23.451685,0.1638308478691865,0.13693532509865103
2026-08-31,23.87672,0.1638308478691865,0.13693532509865103
2026-09-30,24.835197,0.1638308478691865,0.13693532509865103
2026-10-31,25.584585,0.1638308478691865,0.13693532509865103
2026-11-30,25.545752,0.1638308478691865,0.13693532509865103
2026-12-31,25.183798,0.1638308478691865,0.13693532509865103
2027-01-31,26.203981,0.1638308478691865,0.13693532509865103
2027-02-28,27.387922,0.1638308478691865,0.13693532509865103
2027-03-31,27.416065,0.1638308478691865,0.13693532509865103
2027-04-30,26.49717,0.1638308478691865,0.13693532509865103
2027-05-31,25.191103,0.1638308478691865,0.13693532509865103
2027-06-30,23.983368,0.1638308478691865,0.13693532509865103
2027-07-31,23.440557,0.1638308478691865,0.13693532509865103
2027-08-31,23.860994,0.1638308478691865,0.13693532509865103
2027-09-30,24.825413,0.1638308478691865,0.13693532509865103
2027-10-31,25.598326,0.1638308478691865,0.13693532509865103
2027-11-30,25.580742,0.1638308478691865,0.13693532509865103
2027-12-31,25.18865,0.1638308478691865,0.13693532509865103
2028-01-31,26.198046,0.1638308478691865,0.13693532509865103
2028-02-29,27.379477,0.1638308478691865,0.13693532509865103
2028-03-31,27.427256,0.1638308478691865,0.13693532509865103
2028-04-30,26.513367,0.1638308478691865,0.13693532509865103
2028-05-31,25.206022,0.1638308478691865,0.13693532509865103
2028-06-30,23.992002,0.1638308478691865,0.13693532509865103
2028-07-31,23.440512,0.1638308478691865,0.13693532509865103
2028-08-31,23.85698,0.1638308478691865,0.13693532509865103
2028-09-30,24.82577,0.1638308478691865,0.13693532509865103
2028-10-31,25.607822,0.1638308478691865,0.13693532509865103
2028-11-30,25.601265,0.1638308478691865,0.13693532509865103
2028-12-31,25.196205,0.1638308478691865,0.13693532509865103
2029-01-31,26.209139,0.1638308478691865,0.13693532509865103
2029-02-28,27.376276,0.1638308478691865,0.13693532509865103
2029-03-31,27.431484,0.1638308478691865,0.13693532509865103
2029-04-30,26.520868,0.1638308478691865,0.13693532509865103
2029-05-31,25.214756,0.1638308478691865,0.13693532509865103
2029-06-30,24.00038,0.1638308478691865,0.13693532509865103
2029-07-31,23.446712,0.1638308478691865,0.13693532509865103
2029-08-31,23.861607,0.1638308478691865,0.13693532509865103
2029-09-30,24.83101,0.1638308478691865,0.13693532509865103
