Date,Laikipia_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,15.889367,12.90223302281194,9.556344714856916
2024-11-30,17.397621,12.90223302281194,9.556344714856916
2024-12-31,17.630478,12.90223302281194,9.556344714856916
2025-01-31,17.486425,12.90223302281194,9.556344714856916
2025-02-28,17.21439,12.90223302281194,9.556344714856916
2025-03-31,16.93242,12.90223302281194,9.556344714856916
2025-04-30,16.689991,12.90223302281194,9.556344714856916
2025-05-31,16.500648,12.90223302281194,9.556344714856916
2025-06-30,16.361336,12.90223302281194,9.556344714856916
2025-07-31,16.264507,12.90223302281194,9.556344714856916
2025-08-31,16.201933,12.90223302281194,9.556344714856916
2025-09-30,16.165838,12.90223302281194,9.556344714856916
2025-10-31,16.149487,12.90223302281194,9.556344714856916
2025-11-30,16.147429,12.90223302281194,9.556344714856916
2025-12-31,16.15503,12.90223302281194,9.556344714856916
2026-01-31,16.167984,12.90223302281194,9.556344714856916
2026-02-28,16.183859,12.90223302281194,9.556344714856916
2026-03-31,16.201263,12.90223302281194,9.556344714856916
2026-04-30,16.219173,12.90223302281194,9.556344714856916
2026-05-31,16.23725,12.90223302281194,9.556344714856916
2026-06-30,16.253279,12.90223302281194,9.556344714856916
2026-07-31,16.266539,12.90223302281194,9.556344714856916
2026-08-31,16.277534,12.90223302281194,9.556344714856916
2026-09-30,16.286306,12.90223302281194,9.556344714856916
2026-10-31,16.293056,12.90223302281194,9.556344714856916
2026-11-30,16.298363,12.90223302281194,9.556344714856916
2026-12-31,16.302595,12.90223302281194,9.556344714856916
2027-01-31,16.305931,12.90223302281194,9.556344714856916
2027-02-28,16.30849,12.90223302281194,9.556344714856916
2027-03-31,16.310389,12.90223302281194,9.556344714856916
2027-04-30,16.311737,12.90223302281194,9.556344714856916
2027-05-31,16.312653,12.90223302281194,9.556344714856916
2027-06-30,16.313229,12.90223302281194,9.556344714856916
2027-07-31,16.313549,12.90223302281194,9.556344714856916
2027-08-31,16.31369,12.90223302281194,9.556344714856916
2027-09-30,16.313702,12.90223302281194,9.556344714856916
2027-10-31,16.313627,12.90223302281194,9.556344714856916
2027-11-30,16.313507,12.90223302281194,9.556344714856916
2027-12-31,16.313354,12.90223302281194,9.556344714856916
2028-01-31,16.313194,12.90223302281194,9.556344714856916
2028-02-29,16.313038,12.90223302281194,9.556344714856916
2028-03-31,16.312893,12.90223302281194,9.556344714856916
2028-04-30,16.312763,12.90223302281194,9.556344714856916
2028-05-31,16.312645,12.90223302281194,9.556344714856916
2028-06-30,16.312546,12.90223302281194,9.556344714856916
2028-07-31,16.312458,12.90223302281194,9.556344714856916
2028-08-31,16.31239,12.90223302281194,9.556344714856916
2028-09-30,16.312332,12.90223302281194,9.556344714856916
2028-10-31,16.31229,12.90223302281194,9.556344714856916
2028-11-30,16.312256,12.90223302281194,9.556344714856916
2028-12-31,16.312231,12.90223302281194,9.556344714856916
2029-01-31,16.312214,12.90223302281194,9.556344714856916
2029-02-28,16.3122,12.90223302281194,9.556344714856916
2029-03-31,16.31219,12.90223302281194,9.556344714856916
2029-04-30,16.312185,12.90223302281194,9.556344714856916
2029-05-31,16.312178,12.90223302281194,9.556344714856916
2029-06-30,16.312176,12.90223302281194,9.556344714856916
2029-07-31,16.312178,12.90223302281194,9.556344714856916
2029-08-31,16.312178,12.90223302281194,9.556344714856916
2029-09-30,16.31218,12.90223302281194,9.556344714856916
