Date,Laikipia_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,20.455765,0.231179667506278,0.19767211304710303
2024-11-30,19.642992,0.231179667506278,0.19767211304710303
2024-12-31,19.283432,0.231179667506278,0.19767211304710303
2025-01-31,19.56759,0.231179667506278,0.19767211304710303
2025-02-28,20.178492,0.231179667506278,0.19767211304710303
2025-03-31,20.959105,0.231179667506278,0.19767211304710303
2025-04-30,21.026117,0.231179667506278,0.19767211304710303
2025-05-31,20.202276,0.231179667506278,0.19767211304710303
2025-06-30,19.458445,0.231179667506278,0.19767211304710303
2025-07-31,19.25435,0.231179667506278,0.19767211304710303
2025-08-31,19.53832,0.231179667506278,0.19767211304710303
2025-09-30,19.985287,0.231179667506278,0.19767211304710303
2025-10-31,19.918531,0.231179667506278,0.19767211304710303
2025-11-30,19.331902,0.231179667506278,0.19767211304710303
2025-12-31,19.260986,0.231179667506278,0.19767211304710303
2026-01-31,19.785778,0.231179667506278,0.19767211304710303
2026-02-28,20.545893,0.231179667506278,0.19767211304710303
2026-03-31,21.330227,0.231179667506278,0.19767211304710303
2026-04-30,21.035492,0.231179667506278,0.19767211304710303
2026-05-31,19.880758,0.231179667506278,0.19767211304710303
2026-06-30,19.197876,0.231179667506278,0.19767211304710303
2026-07-31,19.20418,0.231179667506278,0.19767211304710303
2026-08-31,19.703259,0.231179667506278,0.19767211304710303
2026-09-30,20.30159,0.231179667506278,0.19767211304710303
2026-10-31,20.20352,0.231179667506278,0.19767211304710303
2026-11-30,19.474876,0.231179667506278,0.19767211304710303
2026-12-31,19.264889,0.231179667506278,0.19767211304710303
2027-01-31,19.602818,0.231179667506278,0.19767211304710303
2027-02-28,20.247488,0.231179667506278,0.19767211304710303
2027-03-31,20.932137,0.231179667506278,0.19767211304710303
2027-04-30,21.031824,0.231179667506278,0.19767211304710303
2027-05-31,20.290676,0.231179667506278,0.19767211304710303
2027-06-30,19.584526,0.231179667506278,0.19767211304710303
2027-07-31,19.35685,0.231179667506278,0.19767211304710303
2027-08-31,19.508022,0.231179667506278,0.19767211304710303
2027-09-30,19.752413,0.231179667506278,0.19767211304710303
2027-10-31,19.726057,0.231179667506278,0.19767211304710303
2027-11-30,19.540504,0.231179667506278,0.19767211304710303
2027-12-31,19.695494,0.231179667506278,0.19767211304710303
2028-01-31,20.121944,0.231179667506278,0.19767211304710303
2028-02-29,20.684889,0.231179667506278,0.19767211304710303
2028-03-31,21.056973,0.231179667506278,0.19767211304710303
2028-04-30,20.505901,0.231179667506278,0.19767211304710303
2028-05-31,19.597372,0.231179667506278,0.19767211304710303
2028-06-30,19.316975,0.231179667506278,0.19767211304710303
2028-07-31,19.566633,0.231179667506278,0.19767211304710303
2028-08-31,20.039167,0.231179667506278,0.19767211304710303
2028-09-30,20.270777,0.231179667506278,0.19767211304710303
2028-10-31,19.8277,0.231179667506278,0.19767211304710303
2028-11-30,19.237904,0.231179667506278,0.19767211304710303
2028-12-31,19.237795,0.231179667506278,0.19767211304710303
2029-01-31,19.703854,0.231179667506278,0.19767211304710303
2029-02-28,20.410189,0.231179667506278,0.19767211304710303
2029-03-31,21.079483,0.231179667506278,0.19767211304710303
2029-04-30,21.104534,0.231179667506278,0.19767211304710303
2029-05-31,20.252827,0.231179667506278,0.19767211304710303
2029-06-30,19.455421,0.231179667506278,0.19767211304710303
2029-07-31,19.21618,0.231179667506278,0.19767211304710303
2029-08-31,19.418768,0.231179667506278,0.19767211304710303
2029-09-30,19.785114,0.231179667506278,0.19767211304710303
