Date,Meru_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,70.78046,136.48170416646892,83.49332832488962
2024-11-30,73.715225,136.48170416646892,83.49332832488962
2024-12-31,75.9755,136.48170416646892,83.49332832488962
2025-01-31,77.61666,136.48170416646892,83.49332832488962
2025-02-28,78.61722,136.48170416646892,83.49332832488962
2025-03-31,79.04596,136.48170416646892,83.49332832488962
2025-04-30,78.687195,136.48170416646892,83.49332832488962
2025-05-31,77.8829,136.48170416646892,83.49332832488962
2025-06-30,77.62173,136.48170416646892,83.49332832488962
2025-07-31,77.3363,136.48170416646892,83.49332832488962
2025-08-31,77.058586,136.48170416646892,83.49332832488962
2025-09-30,76.8089,136.48170416646892,83.49332832488962
2025-10-31,76.5908,136.48170416646892,83.49332832488962
2025-11-30,76.265396,136.48170416646892,83.49332832488962
2025-12-31,75.68717,136.48170416646892,83.49332832488962
2026-01-31,75.6638,136.48170416646892,83.49332832488962
2026-02-28,75.66275,136.48170416646892,83.49332832488962
2026-03-31,75.661446,136.48170416646892,83.49332832488962
2026-04-30,75.678444,136.48170416646892,83.49332832488962
2026-05-31,75.06365,136.48170416646892,83.49332832488962
2026-06-30,74.97196,136.48170416646892,83.49332832488962
2026-07-31,75.1995,136.48170416646892,83.49332832488962
2026-08-31,75.3036,136.48170416646892,83.49332832488962
2026-09-30,75.445724,136.48170416646892,83.49332832488962
2026-10-31,75.592865,136.48170416646892,83.49332832488962
2026-11-30,75.60157,136.48170416646892,83.49332832488962
2026-12-31,75.5969,136.48170416646892,83.49332832488962
2027-01-31,75.58353,136.48170416646892,83.49332832488962
2027-02-28,75.56569,136.48170416646892,83.49332832488962
2027-03-31,75.5467,136.48170416646892,83.49332832488962
2027-04-30,75.52902,136.48170416646892,83.49332832488962
2027-05-31,75.51463,136.48170416646892,83.49332832488962
2027-06-30,75.50425,136.48170416646892,83.49332832488962
2027-07-31,75.49668,136.48170416646892,83.49332832488962
2027-08-31,75.491554,136.48170416646892,83.49332832488962
2027-09-30,75.488365,136.48170416646892,83.49332832488962
2027-10-31,75.48665,136.48170416646892,83.49332832488962
2027-11-30,75.485916,136.48170416646892,83.49332832488962
2027-12-31,75.48606,136.48170416646892,83.49332832488962
2028-01-31,75.48719,136.48170416646892,83.49332832488962
2028-02-29,75.4882,136.48170416646892,83.49332832488962
2028-03-31,75.488945,136.48170416646892,83.49332832488962
2028-04-30,75.48947,136.48170416646892,83.49332832488962
2028-05-31,75.48977,136.48170416646892,83.49332832488962
2028-06-30,75.49086,136.48170416646892,83.49332832488962
2028-07-31,75.491806,136.48170416646892,83.49332832488962
2028-08-31,75.492134,136.48170416646892,83.49332832488962
2028-09-30,75.49218,136.48170416646892,83.49332832488962
2028-10-31,75.49191,136.48170416646892,83.49332832488962
2028-11-30,75.491425,136.48170416646892,83.49332832488962
2028-12-31,75.490974,136.48170416646892,83.49332832488962
2029-01-31,75.4906,136.48170416646892,83.49332832488962
2029-02-28,75.490326,136.48170416646892,83.49332832488962
2029-03-31,75.49016,136.48170416646892,83.49332832488962
2029-04-30,75.49003,136.48170416646892,83.49332832488962
2029-05-31,75.48998,136.48170416646892,83.49332832488962
2029-06-30,75.48997,136.48170416646892,83.49332832488962
2029-07-31,75.490005,136.48170416646892,83.49332832488962
2029-08-31,75.49003,136.48170416646892,83.49332832488962
2029-09-30,75.49006,136.48170416646892,83.49332832488962
