Date,Meru_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,7.600675,10.542242026235506,7.4962568686053315
2024-11-30,11.281939,10.542242026235506,7.4962568686053315
2024-12-31,12.912016,10.542242026235506,7.4962568686053315
2025-01-31,13.333878,10.542242026235506,7.4962568686053315
2025-02-28,13.434925,10.542242026235506,7.4962568686053315
2025-03-31,13.51223,10.542242026235506,7.4962568686053315
2025-04-30,13.104971,10.542242026235506,7.4962568686053315
2025-05-31,10.865935,10.542242026235506,7.4962568686053315
2025-06-30,8.077596,10.542242026235506,7.4962568686053315
2025-07-31,6.5676646,10.542242026235506,7.4962568686053315
2025-08-31,6.4389954,10.542242026235506,7.4962568686053315
2025-09-30,7.272635,10.542242026235506,7.4962568686053315
2025-10-31,8.755298,10.542242026235506,7.4962568686053315
2025-11-30,10.489477,10.542242026235506,7.4962568686053315
2025-12-31,10.579609,10.542242026235506,7.4962568686053315
2026-01-31,10.396726,10.542242026235506,7.4962568686053315
2026-02-28,11.245221,10.542242026235506,7.4962568686053315
2026-03-31,13.075628,10.542242026235506,7.4962568686053315
2026-04-30,15.356806,10.542242026235506,7.4962568686053315
2026-05-31,15.44202,10.542242026235506,7.4962568686053315
2026-06-30,12.940134,10.542242026235506,7.4962568686053315
2026-07-31,10.871606,10.542242026235506,7.4962568686053315
2026-08-31,10.309555,10.542242026235506,7.4962568686053315
2026-09-30,10.815296,10.542242026235506,7.4962568686053315
2026-10-31,11.853663,10.542242026235506,7.4962568686053315
2026-11-30,12.814695,10.542242026235506,7.4962568686053315
2026-12-31,13.30912,10.542242026235506,7.4962568686053315
2027-01-31,13.31659,10.542242026235506,7.4962568686053315
2027-02-28,12.9892435,10.542242026235506,7.4962568686053315
2027-03-31,12.468647,10.542242026235506,7.4962568686053315
2027-04-30,11.844208,10.542242026235506,7.4962568686053315
2027-05-31,11.200006,10.542242026235506,7.4962568686053315
2027-06-30,10.6817045,10.542242026235506,7.4962568686053315
2027-07-31,10.413054,10.542242026235506,7.4962568686053315
2027-08-31,10.395915,10.542242026235506,7.4962568686053315
2027-09-30,10.543782,10.542242026235506,7.4962568686053315
2027-10-31,10.754323,10.542242026235506,7.4962568686053315
2027-11-30,10.943249,10.542242026235506,7.4962568686053315
2027-12-31,11.060658,10.542242026235506,7.4962568686053315
2028-01-31,11.153894,10.542242026235506,7.4962568686053315
2028-02-29,11.274295,10.542242026235506,7.4962568686053315
2028-03-31,11.387583,10.542242026235506,7.4962568686053315
2028-04-30,11.405731,10.542242026235506,7.4962568686053315
2028-05-31,11.2594795,10.542242026235506,7.4962568686053315
2028-06-30,11.031711,10.542242026235506,7.4962568686053315
2028-07-31,10.92218,10.542242026235506,7.4962568686053315
2028-08-31,11.028934,10.542242026235506,7.4962568686053315
2028-09-30,11.292906,10.542242026235506,7.4962568686053315
2028-10-31,11.590716,10.542242026235506,7.4962568686053315
2028-11-30,11.814412,10.542242026235506,7.4962568686053315
2028-12-31,11.911629,10.542242026235506,7.4962568686053315
2029-01-31,11.88948,10.542242026235506,7.4962568686053315
2029-02-28,11.789064,10.542242026235506,7.4962568686053315
2029-03-31,11.656415,10.542242026235506,7.4962568686053315
2029-04-30,11.527706,10.542242026235506,7.4962568686053315
2029-05-31,11.427263,10.542242026235506,7.4962568686053315
2029-06-30,11.368824,10.542242026235506,7.4962568686053315
2029-07-31,11.353652,10.542242026235506,7.4962568686053315
2029-08-31,11.369753,10.542242026235506,7.4962568686053315
2029-09-30,11.397689,10.542242026235506,7.4962568686053315
