Date,Meru_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,22.561996,0.22888427015204546,0.19418309516619287
2024-11-30,21.723707,0.22888427015204546,0.19418309516619287
2024-12-31,21.49895,0.22888427015204546,0.19418309516619287
2025-01-31,21.84015,0.22888427015204546,0.19418309516619287
2025-02-28,22.636644,0.22888427015204546,0.19418309516619287
2025-03-31,23.398289,0.22888427015204546,0.19418309516619287
2025-04-30,23.172329,0.22888427015204546,0.19418309516619287
2025-05-31,22.273075,0.22888427015204546,0.19418309516619287
2025-06-30,21.542843,0.22888427015204546,0.19418309516619287
2025-07-31,21.325508,0.22888427015204546,0.19418309516619287
2025-08-31,21.659914,0.22888427015204546,0.19418309516619287
2025-09-30,22.192295,0.22888427015204546,0.19418309516619287
2025-10-31,22.013075,0.22888427015204546,0.19418309516619287
2025-11-30,21.350885,0.22888427015204546,0.19418309516619287
2025-12-31,21.343742,0.22888427015204546,0.19418309516619287
2026-01-31,21.90649,0.22888427015204546,0.19418309516619287
2026-02-28,22.926311,0.22888427015204546,0.19418309516619287
2026-03-31,23.814825,0.22888427015204546,0.19418309516619287
2026-04-30,23.312006,0.22888427015204546,0.19418309516619287
2026-05-31,22.12691,0.22888427015204546,0.19418309516619287
2026-06-30,21.295256,0.22888427015204546,0.19418309516619287
2026-07-31,21.137901,0.22888427015204546,0.19418309516619287
2026-08-31,21.637566,0.22888427015204546,0.19418309516619287
2026-09-30,22.350857,0.22888427015204546,0.19418309516619287
2026-10-31,22.279264,0.22888427015204546,0.19418309516619287
2026-11-30,21.578789,0.22888427015204546,0.19418309516619287
2026-12-31,21.405289,0.22888427015204546,0.19418309516619287
2027-01-31,21.74486,0.22888427015204546,0.19418309516619287
2027-02-28,22.533014,0.22888427015204546,0.19418309516619287
2027-03-31,23.351183,0.22888427015204546,0.19418309516619287
2027-04-30,23.29805,0.22888427015204546,0.19418309516619287
2027-05-31,22.477602,0.22888427015204546,0.19418309516619287
2027-06-30,21.698858,0.22888427015204546,0.19418309516619287
2027-07-31,21.3302,0.22888427015204546,0.19418309516619287
2027-08-31,21.409615,0.22888427015204546,0.19418309516619287
2027-09-30,21.65377,0.22888427015204546,0.19418309516619287
2027-10-31,21.558764,0.22888427015204546,0.19418309516619287
2027-11-30,21.316942,0.22888427015204546,0.19418309516619287
2027-12-31,21.440767,0.22888427015204546,0.19418309516619287
2028-01-31,21.87983,0.22888427015204546,0.19418309516619287
2028-02-29,22.809702,0.22888427015204546,0.19418309516619287
2028-03-31,23.879606,0.22888427015204546,0.19418309516619287
2028-04-30,23.543417,0.22888427015204546,0.19418309516619287
2028-05-31,22.18803,0.22888427015204546,0.19418309516619287
2028-06-30,21.24666,0.22888427015204546,0.19418309516619287
2028-07-31,21.009342,0.22888427015204546,0.19418309516619287
2028-08-31,21.429047,0.22888427015204546,0.19418309516619287
2028-09-30,22.029312,0.22888427015204546,0.19418309516619287
2028-10-31,21.913208,0.22888427015204546,0.19418309516619287
2028-11-30,21.304235,0.22888427015204546,0.19418309516619287
2028-12-31,21.104216,0.22888427015204546,0.19418309516619287
2029-01-31,21.34248,0.22888427015204546,0.19418309516619287
2029-02-28,22.083595,0.22888427015204546,0.19418309516619287
2029-03-31,23.222342,0.22888427015204546,0.19418309516619287
2029-04-30,23.735235,0.22888427015204546,0.19418309516619287
2029-05-31,23.144537,0.22888427015204546,0.19418309516619287
2029-06-30,22.128946,0.22888427015204546,0.19418309516619287
2029-07-31,21.283371,0.22888427015204546,0.19418309516619287
2029-08-31,20.891272,0.22888427015204546,0.19418309516619287
2029-09-30,20.945723,0.22888427015204546,0.19418309516619287
