Date,Nandi_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,68.34748,11.81817378295101,9.836156032418693
2024-11-30,61.00283,11.81817378295101,9.836156032418693
2024-12-31,50.112457,11.81817378295101,9.836156032418693
2025-01-31,37.553795,11.81817378295101,9.836156032418693
2025-02-28,28.476936,11.81817378295101,9.836156032418693
2025-03-31,29.195837,11.81817378295101,9.836156032418693
2025-04-30,39.707672,11.81817378295101,9.836156032418693
2025-05-31,52.62762,11.81817378295101,9.836156032418693
2025-06-30,61.330647,11.81817378295101,9.836156032418693
2025-07-31,65.47788,11.81817378295101,9.836156032418693
2025-08-31,66.66911,11.81817378295101,9.836156032418693
2025-09-30,65.80533,11.81817378295101,9.836156032418693
2025-10-31,62.706894,11.81817378295101,9.836156032418693
2025-11-30,56.58935,11.81817378295101,9.836156032418693
2025-12-31,47.48151,11.81817378295101,9.836156032418693
2026-01-31,37.158836,11.81817378295101,9.836156032418693
2026-02-28,29.29401,11.81817378295101,9.836156032418693
2026-03-31,29.205645,11.81817378295101,9.836156032418693
2026-04-30,38.033165,11.81817378295101,9.836156032418693
2026-05-31,49.815025,11.81817378295101,9.836156032418693
2026-06-30,58.54769,11.81817378295101,9.836156032418693
2026-07-31,63.439247,11.81817378295101,9.836156032418693
2026-08-31,65.28228,11.81817378295101,9.836156032418693
2026-09-30,64.33136,11.81817378295101,9.836156032418693
2026-10-31,60.861496,11.81817378295101,9.836156032418693
2026-11-30,54.697594,11.81817378295101,9.836156032418693
2026-12-31,46.16853,11.81817378295101,9.836156032418693
2027-01-31,36.995407,11.81817378295101,9.836156032418693
2027-02-28,30.745636,11.81817378295101,9.836156032418693
2027-03-31,31.284021,11.81817378295101,9.836156032418693
2027-04-30,38.85405,11.81817378295101,9.836156032418693
2027-05-31,48.856937,11.81817378295101,9.836156032418693
2027-06-30,56.57937,11.81817378295101,9.836156032418693
2027-07-31,60.85234,11.81817378295101,9.836156032418693
2027-08-31,62.345062,11.81817378295101,9.836156032418693
2027-09-30,61.51582,11.81817378295101,9.836156032418693
2027-10-31,58.36257,11.81817378295101,9.836156032418693
2027-11-30,52.807278,11.81817378295101,9.836156032418693
2027-12-31,45.27424,11.81817378295101,9.836156032418693
2028-01-31,37.362957,11.81817378295101,9.836156032418693
2028-02-29,32.103874,11.81817378295101,9.836156032418693
2028-03-31,32.609196,11.81817378295101,9.836156032418693
2028-04-30,39.055862,11.81817378295101,9.836156032418693
2028-05-31,47.77357,11.81817378295101,9.836156032418693
2028-06-30,54.819607,11.81817378295101,9.836156032418693
2028-07-31,58.911297,11.81817378295101,9.836156032418693
2028-08-31,60.38708,11.81817378295101,9.836156032418693
2028-09-30,59.606728,11.81817378295101,9.836156032418693
2028-10-31,56.638683,11.81817378295101,9.836156032418693
2028-11-30,51.53042,11.81817378295101,9.836156032418693
2028-12-31,44.789032,11.81817378295101,9.836156032418693
2029-01-31,37.908463,11.81817378295101,9.836156032418693
2029-02-28,33.470924,11.81817378295101,9.836156032418693
2029-03-31,33.942245,11.81817378295101,9.836156032418693
2029-04-30,39.376904,11.81817378295101,9.836156032418693
2029-05-31,46.858013,11.81817378295101,9.836156032418693
2029-06-30,53.15398,11.81817378295101,9.836156032418693
2029-07-31,56.980877,11.81817378295101,9.836156032418693
2029-08-31,58.432644,11.81817378295101,9.836156032418693
2029-09-30,57.769424,11.81817378295101,9.836156032418693
