Date,Nandi_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,18.691874,0.11063136106911847,0.08707489792472779
2024-11-30,18.410511,0.11063136106911847,0.08707489792472779
2024-12-31,18.26461,0.11063136106911847,0.08707489792472779
2025-01-31,18.674776,0.11063136106911847,0.08707489792472779
2025-02-28,19.825151,0.11063136106911847,0.08707489792472779
2025-03-31,20.342113,0.11063136106911847,0.08707489792472779
2025-04-30,19.652899,0.11063136106911847,0.08707489792472779
2025-05-31,18.643677,0.11063136106911847,0.08707489792472779
2025-06-30,17.712767,0.11063136106911847,0.08707489792472779
2025-07-31,17.33083,0.11063136106911847,0.08707489792472779
2025-08-31,17.74698,0.11063136106911847,0.08707489792472779
2025-09-30,18.418987,0.11063136106911847,0.08707489792472779
2025-10-31,18.679153,0.11063136106911847,0.08707489792472779
2025-11-30,18.402384,0.11063136106911847,0.08707489792472779
2025-12-31,18.23162,0.11063136106911847,0.08707489792472779
2026-01-31,18.556902,0.11063136106911847,0.08707489792472779
2026-02-28,19.714996,0.11063136106911847,0.08707489792472779
2026-03-31,20.293825,0.11063136106911847,0.08707489792472779
2026-04-30,19.612831,0.11063136106911847,0.08707489792472779
2026-05-31,18.622353,0.11063136106911847,0.08707489792472779
2026-06-30,17.708672,0.11063136106911847,0.08707489792472779
2026-07-31,17.325134,0.11063136106911847,0.08707489792472779
2026-08-31,17.729166,0.11063136106911847,0.08707489792472779
2026-09-30,18.37096,0.11063136106911847,0.08707489792472779
2026-10-31,18.634619,0.11063136106911847,0.08707489792472779
2026-11-30,18.382074,0.11063136106911847,0.08707489792472779
2026-12-31,18.209435,0.11063136106911847,0.08707489792472779
2027-01-31,18.61118,0.11063136106911847,0.08707489792472779
2027-02-28,19.705584,0.11063136106911847,0.08707489792472779
2027-03-31,20.21428,0.11063136106911847,0.08707489792472779
2027-04-30,19.550499,0.11063136106911847,0.08707489792472779
2027-05-31,18.577347,0.11063136106911847,0.08707489792472779
2027-06-30,17.686182,0.11063136106911847,0.08707489792472779
2027-07-31,17.352571,0.11063136106911847,0.08707489792472779
2027-08-31,17.759153,0.11063136106911847,0.08707489792472779
2027-09-30,18.35793,0.11063136106911847,0.08707489792472779
2027-10-31,18.569809,0.11063136106911847,0.08707489792472779
2027-11-30,18.311785,0.11063136106911847,0.08707489792472779
2027-12-31,18.216635,0.11063136106911847,0.08707489792472779
2028-01-31,18.694002,0.11063136106911847,0.08707489792472779
2028-02-29,19.72236,0.11063136106911847,0.08707489792472779
2028-03-31,20.179207,0.11063136106911847,0.08707489792472779
2028-04-30,19.512184,0.11063136106911847,0.08707489792472779
2028-05-31,18.540125,0.11063136106911847,0.08707489792472779
2028-06-30,17.659212,0.11063136106911847,0.08707489792472779
2028-07-31,17.350803,0.11063136106911847,0.08707489792472779
2028-08-31,17.770838,0.11063136106911847,0.08707489792472779
2028-09-30,18.35698,0.11063136106911847,0.08707489792472779
2028-10-31,18.545273,0.11063136106911847,0.08707489792472779
2028-11-30,18.28831,0.11063136106911847,0.08707489792472779
2028-12-31,18.225384,0.11063136106911847,0.08707489792472779
2029-01-31,18.730026,0.11063136106911847,0.08707489792472779
2029-02-28,19.778221,0.11063136106911847,0.08707489792472779
2029-03-31,20.167149,0.11063136106911847,0.08707489792472779
2029-04-30,19.477201,0.11063136106911847,0.08707489792472779
2029-05-31,18.499586,0.11063136106911847,0.08707489792472779
2029-06-30,17.62836,0.11063136106911847,0.08707489792472779
2029-07-31,17.349459,0.11063136106911847,0.08707489792472779
2029-08-31,17.786863,0.11063136106911847,0.08707489792472779
2029-09-30,18.364109,0.11063136106911847,0.08707489792472779
