Date,Narok_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,19.432165,0.23340709996333125,0.1806798509283797
2024-11-30,19.44471,0.23340709996333125,0.1806798509283797
2024-12-31,19.60299,0.23340709996333125,0.1806798509283797
2025-01-31,19.917797,0.23340709996333125,0.1806798509283797
2025-02-28,20.374096,0.23340709996333125,0.1806798509283797
2025-03-31,20.560535,0.23340709996333125,0.1806798509283797
2025-04-30,19.571318,0.23340709996333125,0.1806798509283797
2025-05-31,18.11223,0.23340709996333125,0.1806798509283797
2025-06-30,17.134712,0.23340709996333125,0.1806798509283797
2025-07-31,16.896755,0.23340709996333125,0.1806798509283797
2025-08-31,17.84396,0.23340709996333125,0.1806798509283797
2025-09-30,18.906666,0.23340709996333125,0.1806798509283797
2025-10-31,19.191298,0.23340709996333125,0.1806798509283797
2025-11-30,19.164812,0.23340709996333125,0.1806798509283797
2025-12-31,19.340061,0.23340709996333125,0.1806798509283797
2026-01-31,19.688345,0.23340709996333125,0.1806798509283797
2026-02-28,20.234812,0.23340709996333125,0.1806798509283797
2026-03-31,20.588684,0.23340709996333125,0.1806798509283797
2026-04-30,19.583153,0.23340709996333125,0.1806798509283797
2026-05-31,18.181347,0.23340709996333125,0.1806798509283797
2026-06-30,17.164835,0.23340709996333125,0.1806798509283797
2026-07-31,16.821388,0.23340709996333125,0.1806798509283797
2026-08-31,17.592003,0.23340709996333125,0.1806798509283797
2026-09-30,18.618464,0.23340709996333125,0.1806798509283797
2026-10-31,18.987968,0.23340709996333125,0.1806798509283797
2026-11-30,19.08946,0.23340709996333125,0.1806798509283797
2026-12-31,19.256607,0.23340709996333125,0.1806798509283797
2027-01-31,19.605019,0.23340709996333125,0.1806798509283797
2027-02-28,20.119148,0.23340709996333125,0.1806798509283797
2027-03-31,20.444595,0.23340709996333125,0.1806798509283797
2027-04-30,19.702908,0.23340709996333125,0.1806798509283797
2027-05-31,18.323086,0.23340709996333125,0.1806798509283797
2027-06-30,17.275675,0.23340709996333125,0.1806798509283797
2027-07-31,16.826715,0.23340709996333125,0.1806798509283797
2027-08-31,17.46026,0.23340709996333125,0.1806798509283797
2027-09-30,18.470358,0.23340709996333125,0.1806798509283797
2027-10-31,18.901577,0.23340709996333125,0.1806798509283797
2027-11-30,19.062284,0.23340709996333125,0.1806798509283797
2027-12-31,19.242886,0.23340709996333125,0.1806798509283797
2028-01-31,19.556835,0.23340709996333125,0.1806798509283797
2028-02-29,20.027334,0.23340709996333125,0.1806798509283797
2028-03-31,20.398039,0.23340709996333125,0.1806798509283797
2028-04-30,19.842999,0.23340709996333125,0.1806798509283797
2028-05-31,18.546257,0.23340709996333125,0.1806798509283797
2028-06-30,17.448717,0.23340709996333125,0.1806798509283797
2028-07-31,16.852728,0.23340709996333125,0.1806798509283797
2028-08-31,17.260326,0.23340709996333125,0.1806798509283797
2028-09-30,18.30378,0.23340709996333125,0.1806798509283797
2028-10-31,18.881792,0.23340709996333125,0.1806798509283797
2028-11-30,19.125078,0.23340709996333125,0.1806798509283797
2028-12-31,19.314796,0.23340709996333125,0.1806798509283797
2029-01-31,19.603706,0.23340709996333125,0.1806798509283797
2029-02-28,20.038109,0.23340709996333125,0.1806798509283797
2029-03-31,20.410713,0.23340709996333125,0.1806798509283797
2029-04-30,19.97284,0.23340709996333125,0.1806798509283797
2029-05-31,18.696377,0.23340709996333125,0.1806798509283797
2029-06-30,17.556147,0.23340709996333125,0.1806798509283797
2029-07-31,16.887136,0.23340709996333125,0.1806798509283797
2029-08-31,17.175997,0.23340709996333125,0.1806798509283797
2029-09-30,18.24249,0.23340709996333125,0.1806798509283797
