Date,Nyandarua_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,104.596054,101.73649358996856,68.85714620415882
2024-11-30,104.24327,101.73649358996856,68.85714620415882
2024-12-31,103.61338,101.73649358996856,68.85714620415882
2025-01-31,103.170654,101.73649358996856,68.85714620415882
2025-02-28,102.70768,101.73649358996856,68.85714620415882
2025-03-31,102.22075,101.73649358996856,68.85714620415882
2025-04-30,101.52546,101.73649358996856,68.85714620415882
2025-05-31,100.85692,101.73649358996856,68.85714620415882
2025-06-30,100.390816,101.73649358996856,68.85714620415882
2025-07-31,99.922905,101.73649358996856,68.85714620415882
2025-08-31,99.54738,101.73649358996856,68.85714620415882
2025-09-30,99.16351,101.73649358996856,68.85714620415882
2025-10-31,98.70425,101.73649358996856,68.85714620415882
2025-11-30,98.37369,101.73649358996856,68.85714620415882
2025-12-31,97.99911,101.73649358996856,68.85714620415882
2026-01-31,97.76268,101.73649358996856,68.85714620415882
2026-02-28,97.49398,101.73649358996856,68.85714620415882
2026-03-31,97.26508,101.73649358996856,68.85714620415882
2026-04-30,97.08608,101.73649358996856,68.85714620415882
2026-05-31,96.65563,101.73649358996856,68.85714620415882
2026-06-30,96.38838,101.73649358996856,68.85714620415882
2026-07-31,96.33314,101.73649358996856,68.85714620415882
2026-08-31,96.12865,101.73649358996856,68.85714620415882
2026-09-30,95.974815,101.73649358996856,68.85714620415882
2026-10-31,95.95648,101.73649358996856,68.85714620415882
2026-11-30,95.88152,101.73649358996856,68.85714620415882
2026-12-31,95.81347,101.73649358996856,68.85714620415882
2027-01-31,95.75222,101.73649358996856,68.85714620415882
2027-02-28,95.69706,101.73649358996856,68.85714620415882
2027-03-31,95.64763,101.73649358996856,68.85714620415882
2027-04-30,95.60347,101.73649358996856,68.85714620415882
2027-05-31,95.564316,101.73649358996856,68.85714620415882
2027-06-30,95.52969,101.73649358996856,68.85714620415882
2027-07-31,95.49895,101.73649358996856,68.85714620415882
2027-08-31,95.47176,101.73649358996856,68.85714620415882
2027-09-30,95.44768,101.73649358996856,68.85714620415882
2027-10-31,95.426414,101.73649358996856,68.85714620415882
2027-11-30,95.407776,101.73649358996856,68.85714620415882
2027-12-31,95.39133,101.73649358996856,68.85714620415882
2028-01-31,95.376915,101.73649358996856,68.85714620415882
2028-02-29,95.36421,101.73649358996856,68.85714620415882
2028-03-31,95.35304,101.73649358996856,68.85714620415882
2028-04-30,95.34323,101.73649358996856,68.85714620415882
2028-05-31,95.33461,101.73649358996856,68.85714620415882
2028-06-30,95.32724,101.73649358996856,68.85714620415882
2028-07-31,95.32087,101.73649358996856,68.85714620415882
2028-08-31,95.31518,101.73649358996856,68.85714620415882
2028-09-30,95.31022,101.73649358996856,68.85714620415882
2028-10-31,95.3059,101.73649358996856,68.85714620415882
2028-11-30,95.302025,101.73649358996856,68.85714620415882
2028-12-31,95.2986,101.73649358996856,68.85714620415882
2029-01-31,95.295586,101.73649358996856,68.85714620415882
2029-02-28,95.29293,101.73649358996856,68.85714620415882
2029-03-31,95.290596,101.73649358996856,68.85714620415882
2029-04-30,95.28855,101.73649358996856,68.85714620415882
2029-05-31,95.28674,101.73649358996856,68.85714620415882
2029-06-30,95.28515,101.73649358996856,68.85714620415882
2029-07-31,95.28375,101.73649358996856,68.85714620415882
2029-08-31,95.282524,101.73649358996856,68.85714620415882
2029-09-30,95.28145,101.73649358996856,68.85714620415882
