Date,Tharaka-Nithi_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,74.780106,143.04685645229998,91.9448477164717
2024-11-30,79.897285,143.04685645229998,91.9448477164717
2024-12-31,83.18542,143.04685645229998,91.9448477164717
2025-01-31,85.15781,143.04685645229998,91.9448477164717
2025-02-28,86.0569,143.04685645229998,91.9448477164717
2025-03-31,86.12925,143.04685645229998,91.9448477164717
2025-04-30,85.28121,143.04685645229998,91.9448477164717
2025-05-31,83.92578,143.04685645229998,91.9448477164717
2025-06-30,83.33552,143.04685645229998,91.9448477164717
2025-07-31,82.79249,143.04685645229998,91.9448477164717
2025-08-31,82.335464,143.04685645229998,91.9448477164717
2025-09-30,81.976974,143.04685645229998,91.9448477164717
2025-10-31,81.70768,143.04685645229998,91.9448477164717
2025-11-30,81.3508,143.04685645229998,91.9448477164717
2025-12-31,80.65062,143.04685645229998,91.9448477164717
2026-01-31,80.68746,143.04685645229998,91.9448477164717
2026-02-28,80.747734,143.04685645229998,91.9448477164717
2026-03-31,80.789505,143.04685645229998,91.9448477164717
2026-04-30,80.83938,143.04685645229998,91.9448477164717
2026-05-31,80.03551,143.04685645229998,91.9448477164717
2026-06-30,79.95194,143.04685645229998,91.9448477164717
2026-07-31,80.28087,143.04685645229998,91.9448477164717
2026-08-31,80.50977,143.04685645229998,91.9448477164717
2026-09-30,80.72512,143.04685645229998,91.9448477164717
2026-10-31,80.90263,143.04685645229998,91.9448477164717
2026-11-30,80.89587,143.04685645229998,91.9448477164717
2026-12-31,80.86727,143.04685645229998,91.9448477164717
2027-01-31,80.828766,143.04685645229998,91.9448477164717
2027-02-28,80.78866,143.04685645229998,91.9448477164717
2027-03-31,80.7524,143.04685645229998,91.9448477164717
2027-04-30,80.72295,143.04685645229998,91.9448477164717
2027-05-31,80.702,143.04685645229998,91.9448477164717
2027-06-30,80.68941,143.04685645229998,91.9448477164717
2027-07-31,80.68221,143.04685645229998,91.9448477164717
2027-08-31,80.67902,143.04685645229998,91.9448477164717
2027-09-30,80.6785,143.04685645229998,91.9448477164717
2027-10-31,80.6795,143.04685645229998,91.9448477164717
2027-11-30,80.6812,143.04685645229998,91.9448477164717
2027-12-31,80.683334,143.04685645229998,91.9448477164717
2028-01-31,80.68624,143.04685645229998,91.9448477164717
2028-02-29,80.6883,143.04685645229998,91.9448477164717
2028-03-31,80.68958,143.04685645229998,91.9448477164717
2028-04-30,80.69024,143.04685645229998,91.9448477164717
2028-05-31,80.69039,143.04685645229998,91.9448477164717
2028-06-30,80.69177,143.04685645229998,91.9448477164717
2028-07-31,80.69286,143.04685645229998,91.9448477164717
2028-08-31,80.69301,143.04685645229998,91.9448477164717
2028-09-30,80.6926,143.04685645229998,91.9448477164717
2028-10-31,80.6918,143.04685645229998,91.9448477164717
2028-11-30,80.69079,143.04685645229998,91.9448477164717
2028-12-31,80.69,143.04685645229998,91.9448477164717
2029-01-31,80.68947,143.04685645229998,91.9448477164717
2029-02-28,80.689125,143.04685645229998,91.9448477164717
2029-03-31,80.68899,143.04685645229998,91.9448477164717
2029-04-30,80.68896,143.04685645229998,91.9448477164717
2029-05-31,80.68903,143.04685645229998,91.9448477164717
2029-06-30,80.689125,143.04685645229998,91.9448477164717
2029-07-31,80.68924,143.04685645229998,91.9448477164717
2029-08-31,80.68935,143.04685645229998,91.9448477164717
2029-09-30,80.689415,143.04685645229998,91.9448477164717
