Date,Tharaka-Nithi_temp_forecast,Test_RMSE,Test_MAE
2024-10-31,21.835363,0.11187219109253743,0.08486874708853337
2024-11-30,21.00933,0.11187219109253743,0.08486874708853337
2024-12-31,20.681433,0.11187219109253743,0.08486874708853337
2025-01-31,21.3473,0.11187219109253743,0.08486874708853337
2025-02-28,22.545847,0.11187219109253743,0.08486874708853337
2025-03-31,22.86011,0.11187219109253743,0.08486874708853337
2025-04-30,22.17172,0.11187219109253743,0.08486874708853337
2025-05-31,21.214811,0.11187219109253743,0.08486874708853337
2025-06-30,20.31461,0.11187219109253743,0.08486874708853337
2025-07-31,19.962856,0.11187219109253743,0.08486874708853337
2025-08-31,20.481941,0.11187219109253743,0.08486874708853337
2025-09-30,21.392601,0.11187219109253743,0.08486874708853337
2025-10-31,21.820833,0.11187219109253743,0.08486874708853337
2025-11-30,20.943954,0.11187219109253743,0.08486874708853337
2025-12-31,20.670767,0.11187219109253743,0.08486874708853337
2026-01-31,21.36178,0.11187219109253743,0.08486874708853337
2026-02-28,22.564594,0.11187219109253743,0.08486874708853337
2026-03-31,22.836508,0.11187219109253743,0.08486874708853337
2026-04-30,22.151838,0.11187219109253743,0.08486874708853337
2026-05-31,21.175482,0.11187219109253743,0.08486874708853337
2026-06-30,20.287003,0.11187219109253743,0.08486874708853337
2026-07-31,19.973856,0.11187219109253743,0.08486874708853337
2026-08-31,20.536846,0.11187219109253743,0.08486874708853337
2026-09-30,21.437452,0.11187219109253743,0.08486874708853337
2026-10-31,21.797304,0.11187219109253743,0.08486874708853337
2026-11-30,20.881887,0.11187219109253743,0.08486874708853337
2026-12-31,20.696985,0.11187219109253743,0.08486874708853337
2027-01-31,21.440292,0.11187219109253743,0.08486874708853337
2027-02-28,22.603216,0.11187219109253743,0.08486874708853337
2027-03-31,22.777292,0.11187219109253743,0.08486874708853337
2027-04-30,22.071156,0.11187219109253743,0.08486874708853337
2027-05-31,21.116852,0.11187219109253743,0.08486874708853337
2027-06-30,20.260921,0.11187219109253743,0.08486874708853337
2027-07-31,20.015924,0.11187219109253743,0.08486874708853337
2027-08-31,20.618979,0.11187219109253743,0.08486874708853337
2027-09-30,21.48284,0.11187219109253743,0.08486874708853337
2027-10-31,21.743208,0.11187219109253743,0.08486874708853337
2027-11-30,20.810492,0.11187219109253743,0.08486874708853337
2027-12-31,20.718027,0.11187219109253743,0.08486874708853337
2028-01-31,21.488136,0.11187219109253743,0.08486874708853337
2028-02-29,22.615826,0.11187219109253743,0.08486874708853337
2028-03-31,22.723188,0.11187219109253743,0.08486874708853337
2028-04-30,22.00779,0.11187219109253743,0.08486874708853337
2028-05-31,21.066057,0.11187219109253743,0.08486874708853337
2028-06-30,20.240793,0.11187219109253743,0.08486874708853337
2028-07-31,20.042463,0.11187219109253743,0.08486874708853337
2028-08-31,20.668993,0.11187219109253743,0.08486874708853337
2028-09-30,21.507263,0.11187219109253743,0.08486874708853337
2028-10-31,21.693289,0.11187219109253743,0.08486874708853337
2028-11-30,20.763775,0.11187219109253743,0.08486874708853337
2028-12-31,20.72625,0.11187219109253743,0.08486874708853337
2029-01-31,21.518658,0.11187219109253743,0.08486874708853337
2029-02-28,22.622726,0.11187219109253743,0.08486874708853337
2029-03-31,22.661385,0.11187219109253743,0.08486874708853337
2029-04-30,21.939682,0.11187219109253743,0.08486874708853337
2029-05-31,21.00942,0.11187219109253743,0.08486874708853337
2029-06-30,20.21853,0.11187219109253743,0.08486874708853337
2029-07-31,20.069933,0.11187219109253743,0.08486874708853337
2029-08-31,20.714834,0.11187219109253743,0.08486874708853337
2029-09-30,21.520515,0.11187219109253743,0.08486874708853337
