Date,Uasin Gishu_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,92.14464,60.08326829387026,44.07037756888456
2024-11-30,71.33653,60.08326829387026,44.07037756888456
2024-12-31,34.197723,60.08326829387026,44.07037756888456
2025-01-31,34.133224,60.08326829387026,44.07037756888456
2025-02-28,68.47698,60.08326829387026,44.07037756888456
2025-03-31,106.629326,60.08326829387026,44.07037756888456
2025-04-30,114.63722,60.08326829387026,44.07037756888456
2025-05-31,117.760025,60.08326829387026,44.07037756888456
2025-06-30,126.66118,60.08326829387026,44.07037756888456
2025-07-31,126.15156,60.08326829387026,44.07037756888456
2025-08-31,126.72568,60.08326829387026,44.07037756888456
2025-09-30,119.571106,60.08326829387026,44.07037756888456
2025-10-31,100.557205,60.08326829387026,44.07037756888456
2025-11-30,77.243225,60.08326829387026,44.07037756888456
2025-12-31,54.269638,60.08326829387026,44.07037756888456
2026-01-31,39.53187,60.08326829387026,44.07037756888456
2026-02-28,53.155663,60.08326829387026,44.07037756888456
2026-03-31,88.78425,60.08326829387026,44.07037756888456
2026-04-30,124.82275,60.08326829387026,44.07037756888456
2026-05-31,138.81937,60.08326829387026,44.07037756888456
2026-06-30,144.77643,60.08326829387026,44.07037756888456
2026-07-31,151.98383,60.08326829387026,44.07037756888456
2026-08-31,130.50299,60.08326829387026,44.07037756888456
2026-09-30,101.94224,60.08326829387026,44.07037756888456
2026-10-31,89.79971,60.08326829387026,44.07037756888456
2026-11-30,66.31406,60.08326829387026,44.07037756888456
2026-12-31,44.572872,60.08326829387026,44.07037756888456
2027-01-31,41.41615,60.08326829387026,44.07037756888456
2027-02-28,60.529583,60.08326829387026,44.07037756888456
2027-03-31,89.05219,60.08326829387026,44.07037756888456
2027-04-30,113.35527,60.08326829387026,44.07037756888456
2027-05-31,129.46965,60.08326829387026,44.07037756888456
2027-06-30,136.47676,60.08326829387026,44.07037756888456
2027-07-31,135.12827,60.08326829387026,44.07037756888456
2027-08-31,127.79627,60.08326829387026,44.07037756888456
2027-09-30,114.34332,60.08326829387026,44.07037756888456
2027-10-31,94.82051,60.08326829387026,44.07037756888456
2027-11-30,70.52241,60.08326829387026,44.07037756888456
2027-12-31,47.09862,60.08326829387026,44.07037756888456
2028-01-31,39.13431,60.08326829387026,44.07037756888456
2028-02-29,58.49479,60.08326829387026,44.07037756888456
2028-03-31,92.639,60.08326829387026,44.07037756888456
2028-04-30,120.95433,60.08326829387026,44.07037756888456
2028-05-31,135.6534,60.08326829387026,44.07037756888456
2028-06-30,139.56805,60.08326829387026,44.07037756888456
2028-07-31,135.43405,60.08326829387026,44.07037756888456
2028-08-31,124.02281,60.08326829387026,44.07037756888456
2028-09-30,109.02116,60.08326829387026,44.07037756888456
2028-10-31,90.85489,60.08326829387026,44.07037756888456
2028-11-30,67.67541,60.08326829387026,44.07037756888456
2028-12-31,46.518776,60.08326829387026,44.07037756888456
2029-01-31,41.12988,60.08326829387026,44.07037756888456
2029-02-28,59.199238,60.08326829387026,44.07037756888456
2029-03-31,90.02012,60.08326829387026,44.07037756888456
2029-04-30,117.017456,60.08326829387026,44.07037756888456
2029-05-31,132.65163,60.08326829387026,44.07037756888456
2029-06-30,137.52438,60.08326829387026,44.07037756888456
2029-07-31,134.40825,60.08326829387026,44.07037756888456
2029-08-31,125.36648,60.08326829387026,44.07037756888456
2029-09-30,111.098656,60.08326829387026,44.07037756888456
