Date,West Pokot_rain_forecast,Test_RMSE,Test_MAE
2024-10-31,72.32657,59.47306606365943,50.046323128024575
2024-11-30,71.004684,59.47306606365943,50.046323128024575
2024-12-31,70.470116,59.47306606365943,50.046323128024575
2025-01-31,71.14881,59.47306606365943,50.046323128024575
2025-02-28,72.44802,59.47306606365943,50.046323128024575
2025-03-31,73.91721,59.47306606365943,50.046323128024575
2025-04-30,74.3053,59.47306606365943,50.046323128024575
2025-05-31,74.883,59.47306606365943,50.046323128024575
2025-06-30,75.98366,59.47306606365943,50.046323128024575
2025-07-31,77.02915,59.47306606365943,50.046323128024575
2025-08-31,77.76223,59.47306606365943,50.046323128024575
2025-09-30,78.373886,59.47306606365943,50.046323128024575
2025-10-31,78.239265,59.47306606365943,50.046323128024575
2025-11-30,77.84922,59.47306606365943,50.046323128024575
2025-12-31,77.78267,59.47306606365943,50.046323128024575
2026-01-31,77.97801,59.47306606365943,50.046323128024575
2026-02-28,77.972824,59.47306606365943,50.046323128024575
2026-03-31,77.70641,59.47306606365943,50.046323128024575
2026-04-30,77.56658,59.47306606365943,50.046323128024575
2026-05-31,76.739235,59.47306606365943,50.046323128024575
2026-06-30,76.276344,59.47306606365943,50.046323128024575
2026-07-31,76.50081,59.47306606365943,50.046323128024575
2026-08-31,75.3027,59.47306606365943,50.046323128024575
2026-09-30,75.07154,59.47306606365943,50.046323128024575
2026-10-31,75.6043,59.47306606365943,50.046323128024575
2026-11-30,75.74201,59.47306606365943,50.046323128024575
2026-12-31,75.88067,59.47306606365943,50.046323128024575
2027-01-31,76.003,59.47306606365943,50.046323128024575
2027-02-28,76.09447,59.47306606365943,50.046323128024575
2027-03-31,76.14991,59.47306606365943,50.046323128024575
2027-04-30,76.17088,59.47306606365943,50.046323128024575
2027-05-31,76.169304,59.47306606365943,50.046323128024575
2027-06-30,76.148506,59.47306606365943,50.046323128024575
2027-07-31,76.11044,59.47306606365943,50.046323128024575
2027-08-31,76.06122,59.47306606365943,50.046323128024575
2027-09-30,76.00784,59.47306606365943,50.046323128024575
2027-10-31,75.954704,59.47306606365943,50.046323128024575
2027-11-30,75.909134,59.47306606365943,50.046323128024575
2027-12-31,75.87335,59.47306606365943,50.046323128024575
2028-01-31,75.844795,59.47306606365943,50.046323128024575
2028-02-29,75.821266,59.47306606365943,50.046323128024575
2028-03-31,75.80349,59.47306606365943,50.046323128024575
2028-04-30,75.79209,59.47306606365943,50.046323128024575
2028-05-31,75.78482,59.47306606365943,50.046323128024575
2028-06-30,75.78496,59.47306606365943,50.046323128024575
2028-07-31,75.78819,59.47306606365943,50.046323128024575
2028-08-31,75.78899,59.47306606365943,50.046323128024575
2028-09-30,75.79647,59.47306606365943,50.046323128024575
2028-10-31,75.80268,59.47306606365943,50.046323128024575
2028-11-30,75.802574,59.47306606365943,50.046323128024575
2028-12-31,75.79975,59.47306606365943,50.046323128024575
2029-01-31,75.79475,59.47306606365943,50.046323128024575
2029-02-28,75.78823,59.47306606365943,50.046323128024575
2029-03-31,75.78094,59.47306606365943,50.046323128024575
2029-04-30,75.773544,59.47306606365943,50.046323128024575
2029-05-31,75.766594,59.47306606365943,50.046323128024575
2029-06-30,75.76038,59.47306606365943,50.046323128024575
2029-07-31,75.75512,59.47306606365943,50.046323128024575
2029-08-31,75.750885,59.47306606365943,50.046323128024575
2029-09-30,75.747635,59.47306606365943,50.046323128024575
