Date,West Pokot_soil_forecast,Test_RMSE,Test_MAE
2024-10-31,52.50243,14.047112354418648,11.802601778379051
2024-11-30,45.803364,14.047112354418648,11.802601778379051
2024-12-31,36.89562,14.047112354418648,11.802601778379051
2025-01-31,28.599962,14.047112354418648,11.802601778379051
2025-02-28,24.141258,14.047112354418648,11.802601778379051
2025-03-31,25.143332,14.047112354418648,11.802601778379051
2025-04-30,30.13621,14.047112354418648,11.802601778379051
2025-05-31,36.258434,14.047112354418648,11.802601778379051
2025-06-30,41.39259,14.047112354418648,11.802601778379051
2025-07-31,45.325314,14.047112354418648,11.802601778379051
2025-08-31,47.64288,14.047112354418648,11.802601778379051
2025-09-30,48.112167,14.047112354418648,11.802601778379051
2025-10-31,46.327076,14.047112354418648,11.802601778379051
2025-11-30,42.05343,14.047112354418648,11.802601778379051
2025-12-31,35.776676,14.047112354418648,11.802601778379051
2026-01-31,29.84685,14.047112354418648,11.802601778379051
2026-02-28,26.64819,14.047112354418648,11.802601778379051
2026-03-31,27.643473,14.047112354418648,11.802601778379051
2026-04-30,32.170795,14.047112354418648,11.802601778379051
2026-05-31,37.77459,14.047112354418648,11.802601778379051
2026-06-30,42.42676,14.047112354418648,11.802601778379051
2026-07-31,46.132267,14.047112354418648,11.802601778379051
2026-08-31,47.926884,14.047112354418648,11.802601778379051
2026-09-30,47.28808,14.047112354418648,11.802601778379051
2026-10-31,45.03334,14.047112354418648,11.802601778379051
2026-11-30,41.498077,14.047112354418648,11.802601778379051
2026-12-31,37.11622,14.047112354418648,11.802601778379051
2027-01-31,32.96319,14.047112354418648,11.802601778379051
2027-02-28,30.410414,14.047112354418648,11.802601778379051
2027-03-31,30.36169,14.047112354418648,11.802601778379051
2027-04-30,32.64176,14.047112354418648,11.802601778379051
2027-05-31,36.16308,14.047112354418648,11.802601778379051
2027-06-30,39.672417,14.047112354418648,11.802601778379051
2027-07-31,42.325794,14.047112354418648,11.802601778379051
2027-08-31,43.732723,14.047112354418648,11.802601778379051
2027-09-30,43.771656,14.047112354418648,11.802601778379051
2027-10-31,42.46925,14.047112354418648,11.802601778379051
2027-11-30,40.031307,14.047112354418648,11.802601778379051
2027-12-31,36.954494,14.047112354418648,11.802601778379051
2028-01-31,34.066685,14.047112354418648,11.802601778379051
2028-02-29,32.298634,14.047112354418648,11.802601778379051
2028-03-31,32.240124,14.047112354418648,11.802601778379051
2028-04-30,33.79784,14.047112354418648,11.802601778379051
2028-05-31,36.289593,14.047112354418648,11.802601778379051
2028-06-30,38.87413,14.047112354418648,11.802601778379051
2028-07-31,40.909294,14.047112354418648,11.802601778379051
2028-08-31,42.02724,14.047112354418648,11.802601778379051
2028-09-30,42.092953,14.047112354418648,11.802601778379051
2028-10-31,41.148335,14.047112354418648,11.802601778379051
2028-11-30,39.38521,14.047112354418648,11.802601778379051
2028-12-31,37.18112,14.047112354418648,11.802601778379051
2029-01-31,35.0979,14.047112354418648,11.802601778379051
2029-02-28,33.745,14.047112354418648,11.802601778379051
2029-03-31,33.528286,14.047112354418648,11.802601778379051
2029-04-30,34.44795,14.047112354418648,11.802601778379051
2029-05-31,36.116043,14.047112354418648,11.802601778379051
2029-06-30,37.97383,14.047112354418648,11.802601778379051
2029-07-31,39.525333,14.047112354418648,11.802601778379051
2029-08-31,40.44959,14.047112354418648,11.802601778379051
2029-09-30,40.602898,14.047112354418648,11.802601778379051
